Fixed Points,Duration,Time (CDT),Title,Presenter
<!--skip-->,<!--skip-->,<!--right-->,,
1:30 PM,10,1:30 PM,intro-a,bernhold
,30,1:40 PM,overview-a,bernhold
,20,2:10 PM,design,adubey64
,30,2:30 PM,collaborative-sw-dev,pagrubel
3:00 PM,30,3:00 PM,<em>Break</em>,
3:30 PM,40,3:30 PM,reproducibility,pagrubel
,45,4:10 PM,testing-a,adubey64
,5,4:55 PM,summary,bernhold
5:00 PM,0,5:00 PM,<em>Adjourn</em>,
,30,5:00 PM,<em>Optional</em> Additional Q&A,all
,,5:30 PM,<em>Adjourn</em>,
