Fixed Points,Duration,Time (CEST),Title,Presenter
<!--skip-->,<!--skip-->,<!--right-->,,
2:00 PM,5,2:00 PM,intro-a,adubey64
,20,2:05 PM,overview-a,adubey64
,35,2:25 PM,design-a,adubey64
,60,3:00 PM,testing-advanced-short,frobnitzem
4:00 PM,30,4:00 PM,<em>Break</em>,adubey64
4:30 PM,30,4:30 PM,packaging-short,frobnitzem
,30,5:00 PM,collaborative-sw-dev,frobnitzem
,20,5:30 PM,lab-notebooks,adubey64
,10,5:50 PM,summary,adubey64
6:00 PM,240,6:00 PM,<em>Adjourn</em>,
